edad,peso,altura,horas,objetivo,animo,nivel
67,87,170,10,3,4,1
65,114,170,1,2,1,0
21,55,182,7,3,3,1
62,75,164,2,0,1,0
41,102,169,7,2,3,1
44,83,157,7,3,1,1
61,76,158,10,2,1,1
55,115,171,8,1,3,1
17,98,198,5,1,1,1
31,116,157,3,0,1,1
57,53,178,10,0,1,1
35,74,179,8,3,2,2
46,85,183,7,2,0,1
45,112,197,8,2,0,1
44,107,150,1,3,3,0
53,64,177,10,0,4,1
54,53,188,5,0,0,0
29,99,191,9,1,0,2
45,66,155,4,1,0,1
16,80,179,9,1,1,2
36,79,152,2,2,1,0
15,95,182,3,2,1,0
61,93,196,7,0,4,1
52,105,189,1,0,0,0
41,61,184,5,1,4,1
49,98,180,3,0,2,0
63,110,172,7,3,3,1
44,47,165,4,1,4,1
25,71,181,3,0,1,1
33,53,159,5,0,0,1
17,110,166,4,2,0,0
35,51,170,4,3,0,1
62,54,176,4,2,1,0
56,65,165,10,1,0,2
23,105,178,3,3,3,1
18,50,166,9,3,0,1
34,60,196,2,2,1,0
32,71,178,2,1,0,1
58,87,200,3,2,2,1
34,108,168,6,1,1,2
52,82,154,9,3,0,1
60,107,188,2,3,0,0
28,112,200,8,1,4,2
32,83,190,5,1,3,2
35,120,191,6,0,3,1
43,58,189,7,1,2,1
41,102,150,3,1,3,1
27,69,180,7,2,2,2
40,87,173,4,3,1,0
34,120,191,10,0,1,1
57,116,178,4,3,0,0
51,77,167,9,0,3,1
52,113,194,10,0,4,1
38,63,177,3,0,2,1
26,102,169,8,1,2,2
51,71,188,9,1,3,2
59,91,150,7,1,0,1
49,79,190,4,2,2,1
47,93,194,2,2,1,0
35,46,165,3,0,1,1
44,94,197,6,2,0,1
30,49,151,10,1,0,2
21,69,177,10,2,0,2
35,72,156,8,1,3,2
25,52,165,4,2,0,1
68,86,160,9,2,1,1
42,45,180,6,2,1,1
57,57,188,6,1,2,1
42,83,181,2,1,4,1
40,92,162,3,2,0,0
63,75,191,7,1,4,2
67,98,179,8,0,1,1
28,64,155,2,3,4,1
26,72,154,8,3,2,1
62,117,158,7,2,4,1
16,47,157,4,0,3,0
69,95,198,6,0,2,1
67,106,164,1,3,2,0
69,90,198,6,0,0,1
31,84,177,7,0,2,2
38,99,180,5,3,2,0
57,95,188,8,1,1,2
44,107,166,1,1,2,0
42,96,156,2,0,3,0
23,88,180,5,1,2,1
33,109,192,2,3,0,0
32,84,189,2,0,4,1
19,69,159,6,1,4,2
38,115,156,3,0,1,0
18,65,166,1,3,2,1
17,104,166,10,0,2,1
43,117,192,8,2,4,1
39,92,179,1,0,0,0
45,97,164,1,3,4,0
38,106,180,8,1,3,1
70,97,200,3,2,1,1
42,102,180,7,3,3,1
67,75,154,1,2,2,0
70,85,177,3,2,2,0
23,92,174,10,2,1,1
61,56,159,3,0,0,1
66,59,200,2,2,1,0
38,120,182,1,3,4,0
56,97,187,9,2,4,1
49,114,181,10,2,4,1
33,117,177,9,0,4,1
45,45,175,3,3,4,0
25,56,174,6,1,3,2
63,62,162,7,1,0,2
19,72,182,5,3,1,1
34,116,160,3,3,4,1
65,62,185,7,2,0,1
62,98,165,4,2,1,0
36,105,188,3,2,4,0
29,86,169,2,0,0,0
23,71,156,7,0,3,1
23,49,179,2,2,4,0
34,67,163,1,1,3,1
15,66,186,9,3,3,1
21,116,163,3,3,4,1
24,77,194,3,3,1,1
53,97,166,6,0,1,1
38,55,198,1,1,2,0
62,52,166,6,3,1,1
20,105,188,8,3,2,1
17,85,173,8,3,3,1
31,59,200,9,2,3,1
19,47,166,10,2,2,1
46,57,195,2,1,0,0
53,108,166,5,0,1,0
19,60,174,10,3,2,1
41,71,155,1,3,0,0
45,76,168,10,1,4,2
31,64,165,2,2,0,1
38,93,157,5,1,0,1
39,51,151,10,3,1,1
56,120,194,10,2,4,1
50,88,167,7,0,3,1
68,95,171,9,0,4,1
16,86,193,7,0,2,1
25,91,166,9,3,4,1
42,79,171,2,1,2,0
56,107,159,5,0,4,0
16,116,178,3,1,1,1
65,47,168,8,3,3,1
56,86,150,7,0,0,1
18,65,158,9,2,0,2
60,75,155,7,2,4,1
64,93,165,5,3,4,0
61,56,183,3,2,0,0
15,82,154,3,3,3,0
32,92,173,9,1,0,2
67,82,160,1,1,2,0
58,55,199,3,2,4,0
50,105,198,1,1,0,1
45,66,160,1,3,2,0
17,46,173,9,3,0,1
51,87,179,8,0,2,1
60,101,177,6,0,2,1
44,96,184,3,2,2,0
17,47,194,6,3,1,1
27,72,175,9,2,2,2
69,66,178,9,2,1,1
23,109,193,7,2,2,1
35,117,187,7,2,2,1
16,102,175,10,3,0,1
59,86,193,3,3,1,1
39,59,195,5,0,2,0
29,99,198,4,1,1,2
27,50,162,4,0,3,1
20,119,193,5,0,0,1
24,68,188,3,3,1,1
26,49,198,7,2,1,1
42,70,181,2,2,2,0
67,72,154,1,2,3,0
32,95,175,6,3,3,1
43,114,195,9,2,3,1
23,98,171,7,2,3,1
29,64,173,3,2,0,1
46,71,155,4,2,2,0
41,46,169,6,2,3,1
51,99,199,3,2,0,1
52,108,158,6,1,2,1
43,103,173,8,1,0,1
21,81,160,6,0,0,1
40,101,169,6,0,2,1
60,80,198,10,3,2,1
38,62,183,2,0,2,0
28,50,177,6,2,0,1
41,60,150,8,3,4,1
30,79,168,4,2,2,1
38,101,153,10,3,1,1
36,112,169,2,3,1,0
49,82,192,4,1,1,1
64,81,155,4,2,2,0
23,111,163,6,2,1,1
41,93,167,3,0,2,0
69,65,197,8,1,0,1
51,53,165,1,0,0,0
18,67,161,5,0,3,1
46,70,196,7,2,2,1
61,88,197,3,0,2,1
56,70,190,8,1,3,1
52,74,156,5,2,2,0
32,116,200,3,0,2,1
15,101,159,9,0,0,1
18,55,189,2,1,4,1
62,95,173,8,2,3,1
68,71,185,3,0,2,1
22,51,160,5,2,1,1
35,95,181,5,2,3,1
56,68,173,4,0,2,1
53,81,183,2,2,0,0
36,85,185,6,1,0,2
16,78,179,7,1,3,2
25,95,158,1,1,4,1
16,115,175,9,1,3,1
52,105,159,6,0,3,1
62,46,184,8,0,1,1
16,91,153,2,0,0,0
25,90,182,9,0,3,1
52,77,172,7,1,2,2
61,74,179,3,3,2,1
63,107,192,9,1,3,1
67,67,177,8,2,4,1
70,54,187,4,2,1,0
33,47,162,7,0,2,1
64,69,177,7,2,0,1
40,49,195,6,2,1,1
33,45,172,10,1,3,2
64,71,150,10,3,1,1
25,80,191,4,2,3,1
51,79,174,4,2,3,1
34,108,160,9,0,3,1
66,66,188,2,2,2,0
44,108,188,6,2,2,1
41,114,170,3,3,1,0
43,98,153,3,0,0,0
46,120,152,9,0,2,1
28,62,188,6,2,0,1
65,70,181,6,0,1,1
30,97,175,5,0,0,1
57,105,194,2,3,0,0
47,120,176,5,1,1,1
63,91,195,8,3,3,1
52,84,173,10,0,3,1
26,57,183,7,2,0,1
49,45,151,4,0,2,0
27,83,161,7,0,3,1
40,77,180,6,3,3,1
40,83,174,3,1,3,1
17,75,159,1,2,2,0
56,66,163,9,2,3,1
29,89,189,10,3,2,2
47,112,191,5,3,4,0
48,51,182,8,2,1,1
59,55,197,2,1,4,0
24,63,170,10,3,2,2
15,71,159,3,0,0,0
27,61,192,9,2,2,1
40,70,189,4,2,1,0
56,59,198,1,1,1,0
66,55,153,3,1,3,1
40,86,161,4,0,2,0
43,96,180,4,2,3,0
61,105,178,3,0,1,0
48,80,178,10,1,1,2
54,120,161,3,1,0,1
54,65,200,2,3,1,0
67,95,153,6,0,0,1
49,51,179,8,3,4,1
23,50,172,6,3,0,1
62,84,197,6,1,0,2
24,68,190,3,0,3,1
18,83,164,4,0,3,1
68,81,164,9,2,0,1
27,83,165,1,0,4,0
27,58,178,5,3,2,1
62,89,165,5,1,1,1
31,49,160,4,3,0,1
38,114,197,3,0,0,0
46,45,159,8,2,3,1
63,83,191,1,3,4,0
45,89,171,8,3,2,1
50,119,194,5,1,3,1
19,58,163,10,0,4,2
41,53,195,8,1,0,1
55,83,198,3,3,2,1
64,119,164,5,1,2,1
16,103,196,8,1,4,2
33,93,188,2,3,0,1
19,101,150,10,2,1,1
68,93,168,6,1,1,1
29,58,175,2,2,3,0
66,99,158,9,1,3,1
53,70,164,7,1,0,2
69,92,173,10,0,3,1
53,75,174,8,0,3,1
27,94,185,2,0,4,0
15,72,191,8,1,3,1
21,119,183,10,0,4,1
20,109,169,1,3,2,0
29,86,156,3,2,1,1
49,67,191,5,2,3,0
69,59,185,1,3,4,0
23,100,200,3,0,2,1
49,45,171,7,2,2,1
52,56,178,3,2,2,0
47,117,183,1,3,4,0
54,79,154,3,0,0,0
51,78,158,6,3,0,1
32,70,197,10,2,1,1
20,73,155,8,3,3,1
55,117,156,10,0,1,1
50,51,153,6,0,2,1
70,105,159,2,0,4,0
59,54,190,7,2,0,1
23,115,178,10,0,2,1
29,97,163,9,0,2,1
18,106,187,8,0,2,1
48,81,172,9,1,2,1
30,90,196,10,0,4,2
33,92,168,6,0,1,1
19,57,190,4,1,0,1
65,79,191,1,1,1,1
29,101,153,1,0,1,0
21,52,172,6,2,0,1
52,105,157,3,1,3,1
24,79,191,10,3,0,2
41,120,163,2,2,3,0
67,56,187,10,0,0,1
