edad,peso,altura,horas,objetivo,animo,nivel
40,60,193,8,2,2,1
16,88,182,3,2,2,1
67,96,182,10,0,1,1
57,62,169,1,1,2,1
28,59,198,4,0,2,1
64,67,162,10,1,3,2
17,96,158,10,0,1,1
21,49,171,7,2,2,1
55,51,156,4,0,3,1
15,84,162,6,0,1,1
63,54,155,3,2,4,1
35,84,161,9,3,0,1
43,104,175,7,0,0,1
29,109,183,10,1,3,2
24,97,185,10,2,3,1
53,95,154,10,3,2,1
24,97,193,10,1,0,2
22,105,166,5,0,0,1
52,48,151,3,3,3,1
64,99,174,2,0,2,0
67,104,165,4,2,0,0
37,60,172,9,0,3,1
37,110,200,1,2,2,0
55,64,166,10,2,3,1
24,120,198,4,3,0,1
69,74,195,8,0,0,1
34,113,150,3,1,0,1
36,98,158,2,1,4,0
52,98,172,7,3,2,1
47,114,160,9,0,0,1
21,117,159,3,2,2,1
21,57,194,5,3,1,1
23,90,191,6,0,4,2
43,66,167,4,0,1,1
46,106,196,9,1,4,1
66,108,170,8,0,1,1
68,58,155,7,1,0,2
62,85,186,8,2,0,1
18,58,177,8,0,0,1
47,68,190,5,3,3,0
44,59,185,3,0,2,0
26,46,162,3,3,2,1
24,72,151,9,3,4,1
57,120,186,4,1,1,1
17,109,165,3,3,3,0
30,93,189,6,0,0,2
39,58,176,10,1,0,1
29,84,178,2,3,2,1
50,100,181,3,1,4,1
47,100,158,9,2,3,1
39,113,167,7,0,4,1
25,71,157,7,0,3,1
70,79,177,5,1,0,1
34,104,187,5,3,2,1
40,77,168,7,0,3,1
43,49,157,5,1,0,1
60,81,180,4,0,2,1
66,104,169,9,3,3,1
54,77,160,5,3,4,0
34,116,178,1,2,1,0
60,98,188,2,1,0,0
20,58,179,3,1,2,1
19,57,161,9,3,3,2
69,112,170,3,3,1,0
33,47,175,5,1,0,1
63,88,196,8,3,0,1
48,68,172,5,0,2,1
20,81,164,8,0,1,1
34,84,179,5,3,4,1
18,50,154,8,2,2,2
35,114,190,6,0,4,1
35,96,156,8,0,3,1
27,80,193,3,3,3,1
50,120,189,1,3,2,0
49,90,157,7,3,4,1
54,73,164,2,0,4,0
15,105,189,5,2,1,0
30,50,184,9,1,0,2
37,94,186,8,1,3,1
43,53,179,4,1,3,1
65,59,156,5,2,0,1
60,62,167,9,1,2,2
24,104,181,5,1,4,1
28,100,168,1,2,2,0
27,85,172,3,3,1,1
19,58,173,10,1,1,2
65,84,170,10,0,1,1
